Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities
kwau,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwaau,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwim,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwip,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwap,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwaam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwaap,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwin,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwit,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwen,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwet,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwyun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwyut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kweon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kweot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwan,syllable,regular,CVN,syllable,5,6,0.0003197544,0.0000445206,14,28,0.0009730331,0.0001782350,39,164,0.0008922443,0.0001567603
kwat,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwaan,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwaat,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwing,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwik,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kweng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwoeng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwoek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwaang,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,2,4,0.0001390047,0.0000254621,11,51,0.0002516587,0.0000487486
kwaak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000
kwong,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,4,5,0.0000915122,0.0000047793
kwok,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwung,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
kwuk,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fi,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fe,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,7,33,0.0004865165,0.0002100626,6,19,0.0001372684,0.0000181613
fyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
foe,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fu,syllable,regular,CV,syllable,68,401,0.0043486602,0.0029754617,53,196,0.0036836252,0.0012476448,188,1031,0.0043010753,0.0009854872
fo,syllable,regular,CV,syllable,44,184,0.0028138390,0.0013652991,44,173,0.0030581040,0.0011012375,176,1083,0.0040265385,0.0010351917
faa,syllable,regular,CV,syllable,37,118,0.0023661828,0.0008755723,21,46,0.0014595496,0.0002928146,132,481,0.0030199039,0.0004597666
fei,syllable,regular,CVV,syllable,14,52,0.0008953124,0.0003858454,31,139,0.0021545733,0.0008848093,110,636,0.0025165866,0.0006079242
feoi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fui,syllable,regular,CVV,syllable,5,11,0.0003197544,0.0000816211,2,5,0.0001390047,0.0000318277,10,28,0.0002287806,0.0000267640
foi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fai,syllable,regular,CVV,syllable,22,44,0.0014069195,0.0003264846,38,80,0.0026410898,0.0005092428,124,730,0.0028368794,0.0006977747
faai,syllable,regular,CVV,syllable,19,70,0.0012150668,0.0005194073,14,114,0.0009730331,0.0007256709,41,797,0.0009380005,0.0007618170
fiu,syllable,loan,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
feu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fou,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fau,syllable,regular,CVV,syllable,6,13,0.0003837053,0.0000964614,4,6,0.0002780095,0.0000381932,4,7,0.0000915122,0.0000066910
faau,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fim,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fip,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fap,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
faam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
faap,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fin,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fit,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fen,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fet,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fyun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fyut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
feon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
feot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fan,syllable,regular,CVN,syllable,81,338,0.0051800217,0.0025079952,83,356,0.0057686961,0.0022661303,251,2821,0.0057423930,0.0026964690
fat,syllable,regular,CVS,syllable,18,30,0.0011511159,0.0002226031,10,23,0.0006950236,0.0001464073,37,201,0.0008464882,0.0001921270
faan,syllable,regular,CVN,syllable,123,555,0.0078659589,0.0041181577,61,714,0.0042396441,0.0045449916,268,7366,0.0061313201,0.0070408332
faat,syllable,regular,CVS,syllable,86,520,0.0054997762,0.0038584541,53,234,0.0036836252,0.0014895351,156,1141,0.0035689774,0.0010906314
fon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fot,syllable,loan,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fun,syllable,regular,CVN,syllable,12,20,0.0007674106,0.0001484021,7,18,0.0004865165,0.0001145796,44,174,0.0010066346,0.0001663189
fut,syllable,regular,CVS,syllable,5,11,0.0003197544,0.0000816211,0,0,0.0000000000,0.0000000000,3,15,0.0000686342,0.0000143378
fing,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,2,3,0.0001390047,0.0000190966,2,4,0.0000457561,0.0000038234
fik,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
feng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000
foeng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
foek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fang,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
faang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
faak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
fong,syllable,regular,CVN,syllable,49,329,0.0031335934,0.0024412142,44,276,0.0030581040,0.0017568875,222,2230,0.0050789293,0.0021315582
fok,syllable,regular,CVS,syllable,1,3,0.0000639509,0.0000222603,1,2,0.0000695024,0.0000127311,1,1,0.0000228781,0.0000009559
fung,syllable,regular,CVN,syllable,54,140,0.0034533478,0.0010388146,41,90,0.0028495969,0.0005728981,161,483,0.0036833677,0.0004616783
fuk,syllable,regular,CVS,syllable,39,172,0.0024940845,0.0012762579,33,111,0.0022935780,0.0007065743,104,538,0.0023793182,0.0005142504
si,syllable,regular,CV,syllable,232,1656,0.0148366055,0.0122876923,254,1403,0.0176536002,0.0089308448,567,10852,0.0129718600,0.0103729462
se,syllable,regular,CV,syllable,19,114,0.0012150668,0.0008458919,23,123,0.0015985544,0.0007829607,76,627,0.0017387326,0.0005993215
syu,syllable,regular,CV,syllable,16,80,0.0010232142,0.0005936083,53,260,0.0036836252,0.0016550390,95,659,0.0021734157,0.0006299089
soe,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
su,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
so,syllable,regular,CV,syllable,40,341,0.0025580354,0.0025302555,35,344,0.0024325827,0.0021897439,70,1323,0.0016014642,0.0012645971
saa,syllable,regular,CV,syllable,6,8,0.0003837053,0.0000593608,18,42,0.0012510425,0.0002673524,74,264,0.0016929764,0.0002523459
sei,syllable,regular,CVV,syllable,48,131,0.0030696425,0.0009720336,60,284,0.0041701418,0.0018078118,150,1830,0.0034317090,0.0017492160
seoi,syllable,regular,CVV,syllable,70,339,0.0044765620,0.0025154153,59,253,0.0041006394,0.0016104802,253,1390,0.0057881492,0.0013286394
sui,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,1,2,0.0000695024,0.0000127311,0,0,0.0000000000,0.0000000000
soi,syllable,regular,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,1,0.0000228781,0.0000009559
sai,syllable,regular,CVV,syllable,70,228,0.0044765620,0.0016917837,81,480,0.0056296914,0.0030554565,246,2576,0.0056280027,0.0024622843
saai,syllable,regular,CVV,syllable,21,132,0.0013429686,0.0009794537,8,257,0.0005560189,0.0016359424,43,802,0.0009837566,0.0007665963
siu,syllable,regular,CVV,syllable,94,386,0.0060113833,0.0028641602,89,460,0.0061857103,0.0029281458,306,2616,0.0070006863,0.0025005186
seu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
sou,syllable,regular,CVV,syllable,49,125,0.0031335934,0.0009275130,36,117,0.0025020851,0.0007447675,115,518,0.0026309769,0.0004951333
sau,syllable,regular,CVV,syllable,107,363,0.0068427448,0.0026934978,83,267,0.0057686961,0.0016995977,329,1896,0.0075268817,0.0018123024
saau,syllable,regular,CVV,syllable,4,11,0.0002558035,0.0000816211,1,2,0.0000695024,0.0000127311,8,23,0.0001830245,0.0000219847
sim,syllable,regular,CVN,syllable,1,1,0.0000639509,0.0000074201,4,7,0.0002780095,0.0000445587,13,21,0.0002974148,0.0000200730
sip,syllable,regular,CVS,syllable,2,5,0.0001279018,0.0000371005,1,1,0.0000695024,0.0000063655,12,39,0.0002745367,0.0000372784
sem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
sep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
sam,syllable,regular,CVN,syllable,100,421,0.0063950886,0.0031238638,62,270,0.0043091465,0.0017186943,172,942,0.0039350263,0.0009004161
sap,syllable,regular,CVS,syllable,1,1,0.0000639509,0.0000074201,93,346,0.0064637198,0.0022024749,111,2961,0.0025394647,0.0028302888
saam,syllable,regular,CVN,syllable,70,226,0.0044765620,0.0016769435,63,287,0.0043786489,0.0018269084,164,2453,0.0037520018,0.0023447141
saap,syllable,regular,CVS,syllable,2,2,0.0001279018,0.0000148402,5,11,0.0003475118,0.0000700209,4,28,0.0000915122,0.0000267640
sin,syllable,regular,CVN,syllable,75,433,0.0047963164,0.0032129050,45,451,0.0031276063,0.0028708560,164,4293,0.0037520018,0.0041034886
sit,syllable,regular,CVS,syllable,7,16,0.0004476562,0.0001187217,3,12,0.0002085071,0.0000763864,13,23,0.0002974148,0.0000219847
sen,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
set,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
syun,syllable,regular,CVN,syllable,24,157,0.0015348213,0.0011649563,34,178,0.0023630803,0.0011330651,83,917,0.0018988790,0.0008765197
syut,syllable,regular,CVS,syllable,9,60,0.0005755580,0.0004452062,15,26,0.0010425354,0.0001655039,34,129,0.0007778540,0.0001233054
seon,syllable,regular,CVN,syllable,56,212,0.0035812496,0.0015730621,41,169,0.0028495969,0.0010757753,100,927,0.0022878060,0.0008860782
seot,syllable,regular,CVS,syllable,5,12,0.0003197544,0.0000890412,9,16,0.0006255213,0.0001018486,20,92,0.0004575612,0.0000879387
san,syllable,regular,CVN,syllable,74,339,0.0047323655,0.0025154153,92,339,0.0063942174,0.0021579162,244,1878,0.0055822466,0.0017950970
sat,syllable,regular,CVS,syllable,63,681,0.0040289058,0.0050530908,60,593,0.0041701418,0.0037747619,110,1062,0.0025165866,0.0010151188
saan,syllable,regular,CVN,syllable,13,24,0.0008313615,0.0001780825,25,39,0.0017375591,0.0002482558,204,1035,0.0046671242,0.0009893107
saat,syllable,regular,CVS,syllable,7,14,0.0004476562,0.0001038815,12,29,0.0008340284,0.0001846005,24,55,0.0005490734,0.0000525721
son,syllable,impossible,CVN,syllable,2,2,0.0001279018,0.0000148402,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
sot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
sun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
sut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
sing,syllable,regular,CVN,syllable,145,479,0.0092728784,0.0035542298,137,423,0.0095218237,0.0026926211,365,4180,0.0083504919,0.0039954769
sik,syllable,regular,CVS,syllable,73,260,0.0046684147,0.0019292270,92,609,0.0063942174,0.0038766105,268,5923,0.0061313201,0.0056615334
seng,syllable,regular,CVN,syllable,21,64,0.0013429686,0.0004748867,29,319,0.0020155685,0.0020306055,60,1148,0.0013726836,0.0010973224
sek,syllable,regular,CVS,syllable,9,22,0.0005755580,0.0001632423,11,22,0.0007645260,0.0001400418,45,140,0.0010295127,0.0001338198
soeng,syllable,regular,CVN,syllable,195,902,0.0124704227,0.0066929338,145,764,0.0100778426,0.0048632683,391,6400,0.0089453214,0.0061174766
soek,syllable,regular,CVS,syllable,2,4,0.0001279018,0.0000296804,6,22,0.0004170142,0.0001400418,0,0,0.0000000000,0.0000000000
sang,syllable,regular,CVN,syllable,63,256,0.0040289058,0.0018995466,21,68,0.0014595496,0.0004328563,57,463,0.0013040494,0.0004425612
sak,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,2,3,0.0001390047,0.0000190966,2,28,0.0000457561,0.0000267640
saang,syllable,regular,CVN,syllable,3,8,0.0001918527,0.0000593608,29,179,0.0020155685,0.0011394307,103,664,0.0023564402,0.0006346882
saak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
song,syllable,regular,CVN,syllable,2,3,0.0001279018,0.0000222603,1,7,0.0000695024,0.0000445587,16,78,0.0003660490,0.0000745567
sok,syllable,regular,CVS,syllable,2,2,0.0001279018,0.0000148402,3,10,0.0002085071,0.0000636553,24,66,0.0005490734,0.0000630865
sung,syllable,regular,CVN,syllable,7,24,0.0004476562,0.0001780825,13,33,0.0009035307,0.0002100626,46,725,0.0010523908,0.0006929954
suk,syllable,regular,CVS,syllable,22,54,0.0014069195,0.0004006856,21,52,0.0014595496,0.0003310078,93,511,0.0021276596,0.0004884423
hi,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
he,syllable,colloquial,CV,syllable,3,3,0.0001918527,0.0000222603,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
hyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
hoe,syllable,regular,CV,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,5,13,0.0001143903,0.0000124261
hu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
ho,syllable,regular,CV,syllable,44,979,0.0028138390,0.0072642818,34,643,0.0023630803,0.0040930387,101,4155,0.0023106841,0.0039715805
haa,syllable,regular,CV,syllable,77,715,0.0049242182,0.0053053744,61,655,0.0042396441,0.0041694251,581,8581,0.0132921528,0.0082021979
hei,syllable,regular,CVV,syllable,39,221,0.0024940845,0.0016398430,79,368,0.0054906867,0.0023425167,254,1586,0.0058110272,0.0015159872
heoi,syllable,regular,CVV,syllable,52,786,0.0033254461,0.0058322018,35,988,0.0024325827,0.0062891480,177,14680,0.0040494166,0.0140319619
hui,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
hoi,syllable,regular,CVV,syllable,61,333,0.0039010040,0.0024708946,62,357,0.0043091465,0.0022724958,239,2234,0.0054678563,0.0021353817
hai,syllable,regular,CVV,syllable,32,6702,0.0020464283,0.0497295372,50,10040,0.0034751182,0.0639099659,83,49241,0.0018988790,0.0470672913
haai,syllable,regular,CVV,syllable,2,5,0.0001279018,0.0000371005,6,13,0.0004170142,0.0000827519,41,205,0.0009380005,0.0001959504
hiu,syllable,regular,CVV,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,9,25,0.0002059025,0.0000238964
heu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
hou,syllable,regular,CVV,syllable,139,2107,0.0088891731,0.0156341592,94,2747,0.0065332221,0.0174861231,235,17092,0.0053763441,0.0163374859
hau,syllable,regular,CVV,syllable,35,601,0.0022382810,0.0044594825,60,458,0.0041701418,0.0029154148,191,3030,0.0043697094,0.0028962428
haau,syllable,regular,CVV,syllable,63,177,0.0040289058,0.0013133584,31,275,0.0021545733,0.0017505220,120,1305,0.0027453672,0.0012473917
him,syllable,regular,CVN,syllable,5,21,0.0003197544,0.0001558222,4,6,0.0002780095,0.0000381932,28,179,0.0006405857,0.0001710982
hip,syllable,regular,CVS,syllable,9,18,0.0005755580,0.0001335619,1,4,0.0000695024,0.0000254621,7,16,0.0001601464,0.0000152937
hem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
hep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
ham,syllable,regular,CVN,syllable,10,15,0.0006395089,0.0001113016,9,15,0.0006255213,0.0000954830,29,60,0.0006634637,0.0000573513
hap,syllable,regular,CVS,syllable,33,81,0.0021103792,0.0006010284,24,49,0.0016680567,0.0003119112,68,225,0.0015557081,0.0002150675
haam,syllable,regular,CVN,syllable,2,9,0.0001279018,0.0000667809,5,25,0.0003475118,0.0001591384,23,85,0.0005261954,0.0000812477
haap,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,7,15,0.0001601464,0.0000143378
hin,syllable,regular,CVN,syllable,15,35,0.0009592633,0.0002597036,7,17,0.0004865165,0.0001082141,28,85,0.0006405857,0.0000812477
hit,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000
hen,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
het,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
hyun,syllable,regular,CVN,syllable,9,15,0.0005755580,0.0001113016,5,7,0.0003475118,0.0000445587,15,57,0.0003431709,0.0000544838
hyut,syllable,regular,CVS,syllable,1,1,0.0000639509,0.0000074201,7,15,0.0004865165,0.0000954830,26,63,0.0005948296,0.0000602189
heon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
heot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000
han,syllable,regular,CVN,syllable,4,10,0.0002558035,0.0000742010,1,3,0.0000695024,0.0000190966,14,51,0.0003202928,0.0000487486
hat,syllable,regular,CVS,syllable,4,5,0.0002558035,0.0000371005,1,1,0.0000695024,0.0000063655,10,22,0.0002287806,0.0000210288
haan,syllable,regular,CVN,syllable,24,64,0.0015348213,0.0004748867,19,53,0.0013205449,0.0003373733,46,1328,0.0010523908,0.0012693764
